"Symbol","DeclaredAt","UsageCount","UsageFiles","Snippet"
"__confirmEmailParams","C:\FacturalesNuevo\confirm-email.html:146","1","C:\FacturalesNuevo\confirm-email.html:1","window.__confirmEmailParams = {"
"_chartScaleK","C:\FacturalesNuevo\index.html:1285","3","C:\FacturalesNuevo\index.html:3","window._chartScaleK = false;"
"_chartScaleK","C:\FacturalesNuevo\index.html:1281","3","C:\FacturalesNuevo\index.html:3","window._chartScaleK = true;"
"_currentIncomeGoal","C:\FacturalesNuevo\index.html:2595","0","","window._currentIncomeGoal = goalFull;"
"_customFormatStr","C:\FacturalesNuevo\complete-profile.html:1049","2","C:\FacturalesNuevo\complete-profile.html:2","window._customFormatStr = formatStr;"
"_goals","C:\FacturalesNuevo\index.html:2594","4","C:\FacturalesNuevo\index.html:4","window._goals = { year: goalFull, q1: goalQ.q1, q2: goalQ.q2, q3: goalQ.q3, q4: goalQ.q4 };"
"_goals","C:\FacturalesNuevo\index.html:2431","4","C:\FacturalesNuevo\index.html:4","window._goals = { year: 0, q1: null, q2: null, q3: null, q4: null };"
"_isResultadoContable","C:\FacturalesNuevo\assets\js\fiscal-page.js:321","1","C:\FacturalesNuevo\assets\js\fiscal-page.js:1","window._isResultadoContable = resultadoContable;"
"_productosPage","C:\FacturalesNuevo\assets\js\productos-page.js:502","10","C:\FacturalesNuevo\productos.html:5; C:\FacturalesNuevo\assets\js\productos-page.js:5","window._productosPage = {"
"_subStatus","C:\FacturalesNuevo\settings.html:5336","0","","window._subStatus = subStatus;"
"_userInterval","C:\FacturalesNuevo\settings.html:5335","0","","window._userInterval = interval;"
"_userPlan","C:\FacturalesNuevo\settings.html:5334","3","C:\FacturalesNuevo\settings.html:3","window._userPlan = plan;"
"addPaymentMethod","C:\FacturalesNuevo\assets\js\invoice.js:430","0","","window.addPaymentMethod = addPaymentMethod;"
"applyCategoryFilter","C:\FacturalesNuevo\assets\js\expenses-page.js:1193","0","","window.applyCategoryFilter = applyCategoryFilter;"
"applyContactCityFilter","C:\FacturalesNuevo\index.html:1955","0","","window.applyContactCityFilter = applyContactCityFilter;"
"applyContactPriceFilter","C:\FacturalesNuevo\index.html:1982","0","","window.applyContactPriceFilter = applyContactPriceFilter;"
"applyContactStatusFilter","C:\FacturalesNuevo\index.html:1966","0","","window.applyContactStatusFilter = applyContactStatusFilter;"
"applyDateFilter","C:\FacturalesNuevo\assets\js\expenses-page.js:1206","0","","window.applyDateFilter = applyDateFilter;"
"applyFilters","C:\FacturalesNuevo\assets\js\expenses-page.js:1188","0","","window.applyFilters = applyFilters;"
"applyInvoiceDefaults","C:\FacturalesNuevo\assets\js\invoice-defaults.js:345","0","","window.applyInvoiceDefaults = applyInvoiceDefaults;"
"applyPriceFilter","C:\FacturalesNuevo\assets\js\expenses-page.js:1204","0","","window.applyPriceFilter = applyPriceFilter;"
"auth","C:\FacturalesNuevo\assets\js\auth.js:447","1","C:\FacturalesNuevo\assets\js\auth-guard.js:1","window.auth = {"
"authGuard","C:\FacturalesNuevo\assets\js\auth-guard.js:271","0","","window.authGuard = {"
"businessInfo","C:\FacturalesNuevo\assets\js\businessInfo.js:252","0","","window.businessInfo = {"
"calculateProgress","C:\FacturalesNuevo\assets\js\onboardingProgress.js:535","0","","window.calculateProgress = calculateProgress;"
"cancelSubscription","C:\FacturalesNuevo\settings.html:4979","0","","window.cancelSubscription = function() {"
"checkAuth","C:\FacturalesNuevo\signup.html:579","6","C:\FacturalesNuevo\signin.html:2; C:\FacturalesNuevo\signup.html:1; C:\FacturalesNuevo\assets\js\checkBusinessInfo.js:1; C:\FacturalesNuevo\assets\js\auth-guard.js:1; C:\FacturalesNuevo\assets\js\auth.js:1","if (typeof window.checkAuth === 'function') {"
"checkAuth","C:\FacturalesNuevo\signin.html:873","6","C:\FacturalesNuevo\signup.html:2; C:\FacturalesNuevo\signin.html:1; C:\FacturalesNuevo\assets\js\auth-guard.js:1; C:\FacturalesNuevo\assets\js\auth.js:1; C:\FacturalesNuevo\assets\js\checkBusinessInfo.js:1","if (typeof window.checkAuth === 'function') {"
"checkAuth","C:\FacturalesNuevo\assets\js\auth.js:470","6","C:\FacturalesNuevo\signin.html:2; C:\FacturalesNuevo\signup.html:2; C:\FacturalesNuevo\assets\js\auth-guard.js:1; C:\FacturalesNuevo\assets\js\checkBusinessInfo.js:1","window.checkAuth = checkAuth;"
"checkAuthOnly","C:\FacturalesNuevo\assets\js\checkBusinessInfo.js:80","0","","window.checkAuthOnly = checkAuthOnly;"
"checkBusinessInfoComplete","C:\FacturalesNuevo\assets\js\checkBusinessInfo.js:79","3","C:\FacturalesNuevo\scan-ocr.html:1; C:\FacturalesNuevo\index.html:1; C:\FacturalesNuevo\expenses.html:1","window.checkBusinessInfoComplete = checkBusinessInfoComplete;"
"checkNifCifExists","C:\FacturalesNuevo\assets\js\businessInfo.js:267","0","","window.checkNifCifExists = checkNifCifExists;"
"checkUserHasClients","C:\FacturalesNuevo\assets\js\onboardingProgress.js:532","0","","window.checkUserHasClients = checkUserHasClients;"
"checkUserHasCustomizedInvoice","C:\FacturalesNuevo\assets\js\onboardingProgress.js:533","0","","window.checkUserHasCustomizedInvoice = checkUserHasCustomizedInvoice;"
"checkUserHasIssuedInvoice","C:\FacturalesNuevo\assets\js\onboardingProgress.js:534","0","","window.checkUserHasIssuedInvoice = checkUserHasIssuedInvoice;"
"clearBulkSelection","C:\FacturalesNuevo\assets\js\expenses-page.js:1218","0","","window.clearBulkSelection = clearBulkSelection;"
"clearFilters","C:\FacturalesNuevo\assets\js\expenses-page.js:1189","0","","window.clearFilters = clearFilters;"
"clearInvoiceDefaults","C:\FacturalesNuevo\assets\js\invoice-defaults.js:346","0","","window.clearInvoiceDefaults = clearInvoiceDefaults;"
"ClienteModal","C:\FacturalesNuevo\assets\js\modal-cliente.js:569","0","","window.ClienteModal = ClienteModal;"
"clientsUtils","C:\FacturalesNuevo\assets\js\clients.js:580","0","","window.clientsUtils = {"
"closeAllFilterDropdowns","C:\FacturalesNuevo\assets\js\expenses-page.js:1190","0","","window.closeAllFilterDropdowns = closeAllFilterDropdowns;"
"closeBulkDeleteModal","C:\FacturalesNuevo\assets\js\users-page.js:1072","1","C:\FacturalesNuevo\assets\js\expenses-page.js:1","window.closeBulkDeleteModal = closeBulkDeleteModal;"
"closeBulkDeleteModal","C:\FacturalesNuevo\assets\js\expenses-page.js:1219","1","C:\FacturalesNuevo\assets\js\users-page.js:1","window.closeBulkDeleteModal = closeBulkDeleteModal;"
